label,feature
20,25:1 71:1.0 241:1.0 330:1.0 6459:1.0 9110:1.0 20546:1.0 20547:1.0 20548:1.0 275:1.0 819:1.0 820:1.0 103:1.0 96:1.0 106:1.0 434:1.0 2702:1.0 477:1.0 8769:1.0 41788:1.0 152:1.0 1077:0.5 1077:0.5 1112:0.5 1113:0.5 617:1.0 12863:1.0 213:1.0 
7,20:1 248:1.0 6464:1.0 20549:1.0 264:1.0 265:1.0 811:1.0 812:1.0 813:1.0 814:1.0 815:1.0 816:1.0 44:1.0 1906:1.0 8260:1.0 105:1.0 95:1.0 683:0.5 887:1.0 413:1.0 460:1.0 1118:1.0 1119:1.0 1120:0.5 190:0.5 214:1.0 
8,7:1 272:1.0 817:1.0 818:1.0 26:1.0 27:1.0 278:1.0 1899:1.0 2676:1.0 8256:1.0 8257:1.0 8258:1.0 82:1.0 5928:1.0 5929:1.0 97:1.0 101:1.0 104:1.0 396:1.0 1343:1.0 14848:1.0 90082:1.0 90083:1.0 90084:1.0 90085:1.0 90086:1.0 451:1.0 1724:1.0 11400:1.0 11401:1.0 11402:1.0 11403:1.0 1043:1.0 1043:1.0 6046:0.5 6046:0.5 2455:0.5 2456:0.5 618:1.0 26931:1.0 641:1.0 215:1.0 
3,8:1 34:1.0 1904:1.0 8259:1.0 71:1.0 72:1.0 1304:1.0 5921:1.0 5922:1.0 5923:1.0 5924:1.0 5925:1.0 251:1.0 8754:1.0 8755:1.0 682:1.0 103:1.0 1329:1.0 107:1.0 109:1.0 2269:1.0 5957:1.0 1026:1.0 2748:1.0 2749:1.0 8827:0.5 8827:0.5 6082:1.0 6083:1.0 748:0.5 749:0.5 204:1.0 212:1.0 216:1.0 
10,3:1 79:1.0 5926:1.0 5927:1.0 71:1.0 241:1.0 330:1.0 8747:1.0 8748:1.0 8749:1.0 8750:1.0 8751:1.0 92:1.0 3152:1.0 37912:1.0 105:1.0 391:1.0 382:1.0 398:1.0 957:1.0 8764:1.0 8765:1.0 446:1.0 1420:1.0 8775:1.0 6012:1.0 6012:1.0 37981:0.5 37981:0.5 8853:1.0 8854:1.0 748:0.5 749:0.5 204:1.0 212:1.0 
6,10:1 248:1.0 8752:1.0 8753:1.0 26:1.0 85:1.0 1245:1.0 2523:1.0 2524:1.0 37908:1.0 37909:1.0 37910:1.0 92:1.0 1915:1.0 6980:1.0 1330:1.0 381:1.0 379:0.8333333333333334 391:0.6666666666666666 98:0.5 392:0.3333333333333333 103:0.16666666666666666 99:1.0 106:1.0 399:1.0 409:1.0 20647:1.0 37913:1.0 444:1.0 1985:1.0 6741:1.0 37929:1.0 8802:1.0 8802:1.0 38013:1.0 38014:1.0 197:0.5 198:0.5 204:1.0 
4,6:1 236:1.0 2528:1.0 37911:1.0 26:1.0 85:1.0 1245:1.0 1908:1.0 1909:1.0 6976:1.0 6977:1.0 6978:1.0 275:1.0 276:1.0 277:1.0 383:1.0 98:1.0 106:1.0 404:1.0 405:1.0 15300:1.0 84864:1.0 446:1.0 1420:1.0 8923:1.0 37948:1.0 37948:1.0 540:0.5 540:0.5 1116:0.5 1117:0.5 204:1.0 
7,4:1 236:1.0 1913:1.0 6979:1.0 264:1.0 265:1.0 266:1.0 267:1.0 268:1.0 269:1.0 270:1.0 271:1.0 92:1.0 841:1.0 5360:1.0 100:1.0 887:1.0 413:1.0 414:1.0 460:1.0 461:1.0 583:1.0 584:1.0 585:0.5 586:0.5 
4,7:1 272:1.0 273:1.0 274:1.0 26:1.0 85:1.0 86:1.0 834:1.0 2868:1.0 5356:1.0 5357:1.0 17993:1.0 327:1.0 5571:1.0 21499:1.0 101:1.0 103:0.5 104:1.0 106:1.0 697:1.0 4503:1.0 19520:1.0 967:1.0 3826:1.0 504:1.0 504:1.0 21533:0.5 21533:0.5 577:0.5 578:0.5 618:1.0 212:1.0 
3,4:1 236:1.0 839:1.0 5359:1.0 71:1.0 317:1.0 1195:1.0 5564:1.0 10839:1.0 21495:1.0 21496:1.0 21497:1.0 350:1.0 680:1.0 109512:1.0 682:1.0 103:1.0 98:0.5 389:1.0 685:1.0 434:1.0 435:1.0 21508:1.0 21509:1.0 21510:1.0 967:1.0 3826:1.0 4345:1.0 21516:1.0 21517:1.0 109582:0.5 109582:0.5 21546:1.0 21547:1.0 1116:0.5 1117:0.5 204:1.0 
